"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","147","008 - Kiểm tra gọi API GetBranchs với token thủ công","chromium","Sun Apr 13 20:53:33 ICT 2025","failed","Sun Apr 13 20:53:33 ICT 2025","","03-branch.spec.ts","",""
"","1078","003 - Lấy ra toàn bộ DNNC từ ngày đến ngày tạo thành công với trạng thái khởi tạo","chromium","Mon Apr 14 09:46:40 ICT 2025","passed","Mon Apr 14 09:46:41 ICT 2025","","01-dnnc.spec.ts","",""
"","171","011 - Cập nhật trạng thái thành công với mã vận đơn hợp lệ","chromium","Mon Apr 14 09:46:42 ICT 2025","failed","Mon Apr 14 09:46:43 ICT 2025","API: Cập nhật trạng thái vận đơn OnWheel","04-onwheel.spec.ts","",""
"","649","005 - Verify API lấy danh sách đơn hàng online từ ngày đến ngày","chromium","Sun Apr 13 21:15:40 ICT 2025","failed","Sun Apr 13 21:15:40 ICT 2025","","02-onlinev3.spec.ts","",""
"","733","001 - Đăng nhập thành công vào SEP","chromium","Mon Apr 14 09:46:40 ICT 2025","passed","Mon Apr 14 09:46:41 ICT 2025","","01-dnnc.spec.ts","",""
"","963","004 - Lấy ra 1 Đề nghị nhập cũ có thông tin chi tiết với RequestId bất kì","chromium","Mon Apr 14 09:46:40 ICT 2025","passed","Mon Apr 14 09:46:41 ICT 2025","","01-dnnc.spec.ts","",""
"","1742","012 - Lấy toàn bộ Danh sách đơn có thể ghép chuyến OnWheel","chromium","Mon Apr 14 09:46:41 ICT 2025","passed","Mon Apr 14 09:46:43 ICT 2025","API: Kiểm tra có thể gộp đơn giao không","04-onwheel.spec.ts","",""
"","1285","Trả về danh sách chi nhánh hợp lệ với access token đúng","chromium","Sun Apr 13 20:37:28 ICT 2025","failed","Sun Apr 13 20:37:29 ICT 2025","API: Lấy danh sách chi nhánh theo centerId","03-branch.spec.ts","",""
"","192","010 - Tạo đơn giao hàng OnWheel thành công","chromium","Mon Apr 14 09:46:43 ICT 2025","passed","Mon Apr 14 09:46:43 ICT 2025","API: Tạo đơn hàng giao OnWheel","04-onwheel.spec.ts","",""
"","83","009 - Lấy toàn bộ danh sách đơn hàng OnWheel theo ngày và branch","chromium","Mon Apr 14 09:46:41 ICT 2025","passed","Mon Apr 14 09:46:42 ICT 2025","API: OnWheel - Danh sách đơn đang giao","04-onwheel.spec.ts","",""
"","1069","007 - Verify API trả về đơn hàng theo số điện thoại và ngày","chromium","Sun Apr 13 21:01:25 ICT 2025","passed","Sun Apr 13 21:01:26 ICT 2025","API: Customer Orders","03-customer-orders.spec.ts","",""
"","273","007 - Lấy danh sách đơn hàng theo số điện thoại theo ngày","chromium","Mon Apr 14 09:46:41 ICT 2025","passed","Mon Apr 14 09:46:41 ICT 2025","API: Customer Orders","03-customer-orders.spec.ts","",""
"","2011","013 - Kiểm tra merge shipment với 2 địa chỉ giao hàng","chromium","Sun Apr 13 22:07:13 ICT 2025","passed","Sun Apr 13 22:07:15 ICT 2025","API: Kiểm tra có thể gộp đơn giao không","04-onwheel.spec.ts","",""
"","706","007 - Trả về danh sách chi nhánh hợp lệ với access token đúng","chromium","Sun Apr 13 20:42:42 ICT 2025","failed","Sun Apr 13 20:42:42 ICT 2025","API: Lấy danh sách chi nhánh theo centerId","03-branch.spec.ts","",""
"","902","006 - Load toàn bộ chi tiết đơn hàng online theo mã đơn","chromium","Mon Apr 14 09:46:41 ICT 2025","failed","Mon Apr 14 09:46:41 ICT 2025","","02-onlinev3.spec.ts","",""
"","894","002 - Load toàn bộ trạng thái - Danh sách đề nghị nhập cũ","chromium","Mon Apr 14 09:46:40 ICT 2025","passed","Mon Apr 14 09:46:41 ICT 2025","","01-dnnc.spec.ts","",""
"","137","008 - Lấy chi tiết đơn hàng theo ID","chromium","Mon Apr 14 09:46:41 ICT 2025","passed","Mon Apr 14 09:46:41 ICT 2025","API: Chi tiết đơn hàng","03-customer-orders.spec.ts","",""
"","116","011 - Cập nhật trạng thái vận đơn thành công với DeliveryNo hợp lệ","chromium","Sun Apr 13 21:56:09 ICT 2025","failed","Sun Apr 13 21:56:09 ICT 2025","API: Cập nhật trạng thái vận đơn OnWheel","04-onwheel.spec.ts","",""
"","840","005 - Lấy ra danh sách đơn hàng online từ ngày đến ngày","chromium","Mon Apr 14 09:46:41 ICT 2025","failed","Mon Apr 14 09:46:41 ICT 2025","","02-onlinev3.spec.ts","",""
"","151","010 - Tạo đơn giao hàng OnWheel","chromium","Sun Apr 13 21:45:31 ICT 2025","passed","Sun Apr 13 21:45:32 ICT 2025","API: Tạo đơn hàng giao OnWheel","04-onwheel.spec.ts","",""
"","125","011 - Cập nhật trạng thái thành công với DeliveryNo hợp lệ","chromium","Sun Apr 13 21:50:43 ICT 2025","failed","Sun Apr 13 21:50:43 ICT 2025","API: Cập nhật trạng thái vận đơn OnWheel","04-onwheel.spec.ts","",""
